Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
Sat 7/1,Matt 4,Deut 29,1Cor 10,Rev 9,Song 4,Psalm 32,Prov 27,2Chron 2,Daniel 11,Acts 14
L.D. 7/2,Matt 5,Deut 30,1Cor 11,Rev 10,Song 5,Psalm 33,Prov 28,2Chron 3,Daniel 12,Acts 15
Mon 7/3,Matt 6,Deut 31,1Cor 12,Rev 11,Song 6,Psalm 34,Prov 29,2Chron 4,Hosea 1,Acts 16
Tue 7/4,Matt 7,Deut 32,1Cor 13,Rev 12,Song 7,Psalm 35,Prov 30,2Chron 5,Hosea 2,Acts 17
Wed 7/5,Matt 8,Deut 33,1Cor 14,Rev 13,Song 8,Psalm 36,Prov 31,2Chron 6,Hosea 3,Acts 18
Thu 7/6,Matt 9,Deut 34,1Cor 15,Rev 14,Job 1,Psalm 37,Prov 1,2Chron 7,Hosea 4,Acts 19
Fri 7/7,Matt 10,Gen 1,1Cor 16,Rev 15,Job 2,Psalm 38,Prov 2,2Chron 8,Hosea 5,Acts 20
Sat 7/8,Matt 11,Gen 2,2Cor 1,Rev 16,Job 3,Psalm 39,Prov 3,2Chron 9,Hosea 6,Acts 21
L.D. 7/9,Matt 12,Gen 3,2Cor 2,Rev 17,Job 4,Psalm 40,Prov 4,2Chron 10,Hosea 7,Acts 22
Mon 7/10,Matt 13,Gen 4,2Cor 3,Rev 18,Job 5,Psalm 41,Prov 5,2Chron 11,Hosea 8,Acts 23
Tue 7/11,Matt 14,Gen 5,2Cor 4,Rev 19,Job 6,Psalm 42,Prov 6,2Chron 12,Hosea 9,Acts 24
Wed 7/12,Matt 15,Gen 6,2Cor 5,Rev 20,Job 7,Psalm 43,Prov 7,2Chron 13,Hosea 10,Acts 25
